TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
ptrA	-	ptrA-recBD	-	ptrAptrA-recBD
yibA	+	rhsA-yibA	+	yibArhsA-yibA
glnW-metU-glnVX	-	metT-leuW-glnUW-metU-glnVX	-	glnW-metU-glnVXmetT-leuW-glnUW-metU-glnVX
ybgA-phr	+	phr	+	ybgA-phrphr
napFDAGHBC-ccmABCDEFGH	-	napFDAGHBC	-	napFDAGHBC-ccmABCDEFGHnapFDAGHBC
napFDAGHBC-ccmABCDEFGH	-	ccmABCDEFGH	-	napFDAGHBC-ccmABCDEFGHccmABCDEFGH
ybeZY	-	ybeZYX-lnt	-	ybeZYybeZYX-lnt
kbp	-	yqaE-kbp	-	kbpyqaE-kbp
glsB-yneG	-	sad-glsB-yneG1	-	glsB-yneGsad-glsB-yneG1
gapA	+	msrB	-	gapAmsrB
sdaCB	+	ygdG1	+	sdaCBygdG1
ftsZ	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsZ	+	ftsQAZ	+	ftsZftsQAZ
ftsZ	+	stfZ	-	ftsZstfZ
ftsZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZrsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ftsZ	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
pldA	+	recQ	+	pldArecQ
intD1	-	exoD	-	intD1exoD
yliI	+	gstB	-	yliIgstB
yaiY1	-	yaiZ	+	yaiY1yaiZ
wecH	+	ysaB1	-	wecHysaB1
fixABCX	+	yaaU	+	fixABCXyaaU
rcnAB	+	rcnR	-	rcnABrcnR
rcnAB	+	rcnB1	+	rcnABrcnB1
insB7	+	insA-71	+	insB7insA-71
ymfK	-	ymfJ3	-	ymfKymfJ3
glpQ	-	glpTQ	-	glpQglpTQ
ybiO1	-	ybiN	+	ybiO1ybiN
dapE-ypfN	+	yffB-dapE-ypfN	+	dapE-ypfNyffB-dapE-ypfN
epd-pgk-fbaA	-	epd-pgk	-	epd-pgk-fbaAepd-pgk
epd-pgk-fbaA	-	pgk-fbaA	-	epd-pgk-fbaApgk-fbaA
epd-pgk-fbaA	-	pgk	-	epd-pgk-fbaApgk
yzcX	+	cyaY1	-	yzcXcyaY1
focA-pflB	-	pflB	-	focA-pflBpflB
ampC	-	frdABCD	-	ampCfrdABCD
ypjD1	+	ffh	-	ypjD1ffh
ydfV	+	relBE-hokD	-	ydfVrelBE-hokD
rdlD	+	ldrD	-	rdlDldrD
yciCB	-	yciA1	-	yciCByciA1
hisS	-	yfgM	-	hisSyfgM
hisS	-	ispG-sroE1	-	hisSispG-sroE1
cadBA	-	cadA	-	cadBAcadA
mhpR-lacI	-	lacI	-	mhpR-lacIlacI
dicB-ydfDE-insD-intQ	+	ydfABC-dicFB-ydfD	+	dicB-ydfDE-insD-intQydfABC-dicFB-ydfD
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rimP-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnprimP-nusA-infB
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	pnp	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnppnp
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	sraG	+	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnpsraG
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY-yhbC-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnpmetY-yhbC-nusA-infB
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsO	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnprpsO
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nlpI1	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnpnlpI1
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnpnusA-infB
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnpmetY
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsO-pnp	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnprpsO-pnp
pabA	-	yhfG-fic-pabA	-	pabAyhfG-fic-pabA
alaA-yfbR1	+	alaA	+	alaA-yfbR1alaA
alaA-yfbR1	+	yfbR	+	alaA-yfbR1yfbR
gadEF	+	gadEF-mdtEF	+	gadEFgadEF-mdtEF
gadEF	+	gadE-mdtEF	+	gadEFgadE-mdtEF
fkpA	-	slyX1	+	fkpAslyX1
dapD	-	map-glnD-dapD	-	dapDmap-glnD-dapD
deaD1	-	yrbN-deaD	-	deaD1yrbN-deaD
arcA	-	yjjY1	+	arcAyjjY1
arcA	-	creABCD	+	arcAcreABCD
arcA	-	creD	+	arcAcreD
tyrP	+	yecH1	-	tyrPyecH1
gpmM-envC-yibQ	+	yibN1	-	gpmM-envC-yibQyibN1
gpmM-envC-yibQ	+	yibD	-	gpmM-envC-yibQyibD
gpmM-envC-yibQ	+	yibN-grxC-secB-gpsA	-	gpmM-envC-yibQyibN-grxC-secB-gpsA
gadAX	-	gadY	+	gadAXgadY
gadAX	-	gadXW	-	gadAXgadXW
mdtL	+	yidZ	+	mdtLyidZ
rpsA-ihfB	+	ycaI-msbA-lpxK-ycaQ1	+	rpsA-ihfBycaI-msbA-lpxK-ycaQ1
rpsA-ihfB	+	cmk-rpsA	+	rpsA-ihfBcmk-rpsA
rpsA-ihfB	+	ihfB	+	rpsA-ihfBihfB
aroF-tyrA	-	pheLA	+	aroF-tyrApheLA
pyrG-eno	-	eno	-	pyrG-enoeno
crr	+	ptsHI-crr	+	crrptsHI-crr
yggM1	-	ansB	-	yggM1ansB
nuoABCEFGHIJKLMN	-	nuoMN	-	nuoABCEFGHIJKLMNnuoMN
nfuA	+	gntXY	+	nfuAgntXY
rhtB	-	pldB-yigL1	+	rhtBpldB-yigL1
hisBHAFI	+	hisLGDCBHAFI	+	hisBHAFIhisLGDCBHAFI
rfaZ-waaU	-	rfaQGPSBIJYZ-waaU	-	rfaZ-waaUrfaQGPSBIJYZ-waaU
rfaZ-waaU	-	rfaYZ	-	rfaZ-waaUrfaYZ
rfaZ-waaU	-	rirA-rfaQGPSBIJYZ-waaU	-	rfaZ-waaUrirA-rfaQGPSBIJYZ-waaU
dksA-yadB	-	pcnB-folk	-	dksA-yadBpcnB-folk
dksA-yadB	-	dksA-gluQ	-	dksA-yadBdksA-gluQ
dksA-yadB	-	sfsA-dksA	-	dksA-yadBsfsA-dksA
ubiX	-	cvpA-purF-ubiX	-	ubiXcvpA-purF-ubiX
ptsHI-crr	+	crr	+	ptsHI-crrcrr
nei	+	ybgIJKL-nei	+	neiybgIJKL-nei
flhDC	-	asflhD	+	flhDCasflhD
flhDC	-	motRAB-cheAW	-	flhDCmotRAB-cheAW
glgCAP	-	glgAP	-	glgCAPglgAP
glgCAP	-	glgBXCAP	-	glgCAPglgBXCAP
nmpC	-	insH-21	-	nmpCinsH-21
mglBAC	-	mglAC	-	mglBACmglAC
bglG	-	bglGFB	-	bglGbglGFB
yidL	+	glvCBG-ysdC	-	yidLglvCBG-ysdC
ispDF	-	truD	-	ispDFtruD
rrsE-gltV-rrlE-rrfE	+	rrlE-rrfE	+	rrsE-gltV-rrlE-rrfErrlE-rrfE
rrsE-gltV-rrlE-rrfE	+	yjaA2	+	rrsE-gltV-rrlE-rrfEyjaA2
nuoMN	-	nuoABCEFGHIJKLMN	-	nuoMNnuoABCEFGHIJKLMN
exbD	-	exbBD	-	exbDexbBD
rseD-rpoE-rseABC	-	rpoE-rseABC	-	rseD-rpoE-rseABCrpoE-rseABC
rseD-rpoE-rseABC	-	rseABC	-	rseD-rpoE-rseABCrseABC
ffs1	+	ybaZ	-	ffs1ybaZ
clpB	-	ryfD	-	clpBryfD
