TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction	Concatenated
yjgA1	-	tldE	+	yjgA1tldE
srkA-dsbA	+	dsbA	+	srkA-dsbAdsbA
clpPX	+	clpX-lon	+	clpPXclpX-lon
pstB-phoU	-	pstCAB-phoU	-	pstB-phoUpstCAB-phoU
pstB-phoU	-	phoU	-	pstB-phoUphoU
pstB-phoU	-	pstSCAB-phoU	-	pstB-phoUpstSCAB-phoU
yajD1	+	yajC-secDF	+	yajD1yajC-secDF
casABCDE12	-	casDE-ygbTF	-	casABCDE12casDE-ygbTF
casABCDE12	-	ygbF	-	casABCDE12ygbF
gadE-mdtEF	+	mdtEF	+	gadE-mdtEFmdtEF
rrlE-rrfE	+	rrsE-gltV-rrlE-rrfE	+	rrlE-rrfErrsE-gltV-rrlE-rrfE
rrlE-rrfE	+	yjaA2	+	rrlE-rrfEyjaA2
yigI	-	rarD1	-	yigIrarD1
xerD-dsbC-recJ	-	dsbC	-	xerD-dsbC-recJdsbC
xerD-dsbC-recJ	-	fldB	+	xerD-dsbC-recJfldB
xerD-dsbC-recJ	-	xerD1	-	xerD-dsbC-recJxerD1
dolP	+	diaA	+	dolPdiaA
tfaS	+	yfdONMLK	-	tfaSyfdONMLK
queA	+	tgt-yajC	+	queAtgt-yajC
aceEF	+	pdhR-aceEF-lpdA	+	aceEFpdhR-aceEF-lpdA
yfiC1	-	nadB	+	yfiC1nadB
dnaTC	-	dnaTC-yjjA	-	dnaTCdnaTC-yjjA
dnaTC	-	yjjB-dnaTC	-	dnaTCyjjB-dnaTC
dnaTC	-	yjjB-dnaTC-yjjA	-	dnaTCyjjB-dnaTC-yjjA
treR	-	mgtA	+	treRmgtA
dnaAN-recF	-	dnaN-recF	-	dnaAN-recFdnaN-recF
dnaAN-recF	-	gyrB	-	dnaAN-recFgyrB
dnaAN-recF	-	recF	-	dnaAN-recFrecF
rnt-lhr	+	lhr	+	rnt-lhrlhr
rnlB	+	rnlAB	+	rnlBrnlAB
yccX1	+	tusE	-	yccX1tusE
rfaYZ	-	rirA-rfaQGPSBIJYZ-waaU	-	rfaYZrirA-rfaQGPSBIJYZ-waaU
ahpF	+	ahpCF	+	ahpFahpCF
yeaO1	+	nimT	+	yeaO1nimT
rhaT	-	rhaSR	+	rhaTrhaSR
entCEBA-ybdB	+	entH	+	entCEBA-ybdBentH
glpGR	-	glpR	-	glpGRglpR
glnB	-	yfhA	-	glnByfhA
yrfG-hslR	+	hslR-hslO	+	yrfG-hslRhslR-hslO
stfZ	-	ftsQAZ	+	stfZftsQAZ
stfZ	-	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZrsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
stfZ	-	ftsZ	+	stfZftsZ
stfZ	-	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
stfZ	-	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
fes-ybdZ-entF-fepE	+	fepDGC	-	fes-ybdZ-entF-fepEfepDGC
fusA-tufA	-	tufA	-	fusA-tufAtufA
mutY-yggX-mltC	+	mutY-yggX	+	mutY-yggX-mltCmutY-yggX
mutY-yggX-mltC	+	yggX-mltC	+	mutY-yggX-mltCyggX-mltC
mutY-yggX-mltC	+	yggX	+	mutY-yggX-mltCyggX
mutY-yggX-mltC	+	mutY-yggX-mltC-nupG	+	mutY-yggX-mltCmutY-yggX-mltC-nupG
infA-serW1	-	serW	-	infA-serW1serW
infA-serW1	-	infA	-	infA-serW1infA
ydcSTUV-patD	+	patD1	+	ydcSTUV-patDpatD1
lptB-rpoN-hpf-ptsN-yhbJ	+	lptAB	+	lptB-rpoN-hpf-ptsN-yhbJlptAB
lptB-rpoN-hpf-ptsN-yhbJ	+	rpoN-hpf-ptsN-yhbJ-npr	+	lptB-rpoN-hpf-ptsN-yhbJrpoN-hpf-ptsN-yhbJ-npr
lptB-rpoN-hpf-ptsN-yhbJ	+	yrbG-kdsDC-lptCAB	+	lptB-rpoN-hpf-ptsN-yhbJyrbG-kdsDC-lptCAB
yeaD	+	gapA-yeaD	+	yeaDgapA-yeaD
ydgC1	-	ydgI-folM	+	ydgC1ydgI-folM
adeQ	-	yicN1	-	adeQyicN1
rsd	-	nudC-hemE-nfi1	+	rsdnudC-hemE-nfi1
ssrS-ygfA	+	zapA1	+	ssrS-ygfAzapA1
oxyR	+	sthA	-	oxyRsthA
tauABCD	+	tauABC	+	tauABCDtauABC
uhpABC	-	ivbL-ilvBN-uhpABC1	-	uhpABCivbL-ilvBN-uhpABC1
uhpABC	-	uhpB	-	uhpABCuhpB
hyuA1	+	ygeY	+	hyuA1ygeY
flgAMN	-	flgMN	-	flgAMNflgMN
yebW2	+	yebV1	+	yebW2yebV1
nemA	+	nemRA-gloA	+	nemAnemRA-gloA
yqgB2	-	yqgC	+	yqgB2yqgC
waaA	+	kdtA-coaD	+	waaAkdtA-coaD
rcsDB	+	rcsB	+	rcsDBrcsB
ygbJK	+	ygbI1	-	ygbJKygbI1
ygbJK	+	ygbK	+	ygbJKygbK
gadBC	-	gadC1	-	gadBCgadC1
lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxCrsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxCmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxCftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
ldhA	-	ydbH-ynbE-ydbL1	+	ldhAydbH-ynbE-ydbL1
pgk-fbaA	-	pgk	-	pgk-fbaApgk
sibD	-	ibsD	+	sibDibsD
sad-glsB-yneG1	-	sad1	-	sad-glsB-yneG1sad1
sad-glsB-yneG1	-	yneJ1	+	sad-glsB-yneG1yneJ1
abgR	+	mcaS	-	abgRmcaS
yrdA	+	yrdD-rimN-aroE-yrdB	-	yrdAyrdD-rimN-aroE-yrdB
yibD	-	yibD1	-	yibDyibD1
yibD	-	gpmM-envC-yibQ	+	yibDgpmM-envC-yibQ
ybdK1	-	ybdJ3	-	ybdK1ybdJ3
ssrS	+	zapA1	+	ssrSzapA1
ssrS	+	ssrS-ygfA	+	ssrSssrS-ygfA
fumC	-	tus1	+	fumCtus1
fumC	-	fumAC	-	fumCfumAC
dhaM	-	dhaKLM	-	dhaMdhaKLM
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsZ	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCftsZ
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCmraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxClpxC
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCstfZ
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
sdsR	-	sdsR-pphA	-	sdsRsdsR-pphA
cysG	+	nirBDC-cysG	+	cysGnirBDC-cysG
tolB-pal-ybgF1	+	ybgC-tolQRA1	+	tolB-pal-ybgF1ybgC-tolQRA1
tolB-pal-ybgF2	+	ybgC-tolQRA2	+	tolB-pal-ybgF2ybgC-tolQRA2
sucABCD-sdhX	+	sdhCDAB-sucABCD-sdhX	+	sucABCD-sdhXsdhCDAB-sucABCD-sdhX
sucABCD-sdhX	+	sucAB	+	sucABCD-sdhXsucAB
sucABCD-sdhX	+	mngR	-	sucABCD-sdhXmngR
dsbD-yjdC	-	yjdC	-	dsbD-yjdCyjdC
dsbD-yjdC	-	cutA	-	dsbD-yjdCcutA
rpsI1	-	rplM-rpsI	-	rpsI1rplM-rpsI
frlR	+	frlABCDR	+	frlRfrlABCDR
sfmCD	+	sfmAC	+	sfmCDsfmAC
ycjY	-	ycjY-ymjDC-mpaA	-	ycjYycjY-ymjDC-mpaA
ycjY	-	pgrR	+	ycjYpgrR
yniA2	+	ydiZ	+	yniA2ydiZ
rhtA1	-	yliM-ompX	+	rhtA1yliM-ompX
dcuD	+	nanR1	-	dcuDnanR1
metG	+	mrp	-	metGmrp
holC-valS	-	holC1	-	holC-valSholC1
holC-valS	-	valS	-	holC-valSvalS
garR	-	garPLRK-rnpB	-	garRgarPLRK-rnpB
ibsC	-	sibC	+	ibsCsibC
psiE	+	xylE	-	psiExylE
ilvIH	+	yabR	-	ilvIHyabR
yddH	-	pptA1	+	yddHpptA1
suhB	+	yfhR1	+	suhByfhR1
stfR-tfaR	+	ynaA-lomR	+	stfR-tfaRynaA-lomR
ygeF	+	yqeK2	-	ygeFyqeK2
ybeD1	-	lipB1	-	ybeD1lipB1
ybeD2	-	lipB2	-	ybeD2lipB2
pykA	+	yebK1	+	pykAyebK1
ygjQ1	+	ygjP	+	ygjQ1ygjP
sraG	+	rpsO	-	sraGrpsO
sraG	+	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	sraGmetY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
sraG	+	rpsO-pnp	-	sraGrpsO-pnp
yjaG1	+	nudC-hemE-nfi1	+	yjaG1nudC-hemE-nfi1
acs-yjcHG	-	yjcH-actP	-	acs-yjcHGyjcH-actP
yghO	-	insH-91	+	yghOinsH-91
hokA1	-	insJ1	+	hokA1insJ1
ubiEJB	+	esrE	+	ubiEJBesrE
pdxA-rsmA	-	apaGH	-	pdxA-rsmAapaGH
pdxA-rsmA	-	imp-surA-pdxA	-	pdxA-rsmAimp-surA-pdxA
pdxA-rsmA	-	pdxA-rsmA-apaGH	-	pdxA-rsmApdxA-rsmA-apaGH
pdxA-rsmA	-	rsmA-apaGH	-	pdxA-rsmArsmA-apaGH
rplU-rpmA	-	rplU-rpmA-yhbE-obgE	-	rplU-rpmArplU-rpmA-yhbE-obgE
ygcS	-	ygcRQ	-	ygcSygcRQ
cysJIH	-	cysH	-	cysJIHcysH
nirBDC-cysG	+	cysG	+	nirBDC-cysGcysG
pabC-mltG-tmk-holB-ycfH3	+	acpP-fabF	+	pabC-mltG-tmk-holB-ycfH3acpP-fabF
glnHPQ	-	glnQ	-	glnHPQglnQ
rpsU-dnaG-rpoD	+	rpoD	+	rpsU-dnaG-rpoDrpoD
rpsU-dnaG-rpoD	+	rpsU	+	rpsU-dnaG-rpoDrpsU
maeA1	-	adhP1	-	maeA1adhP1
yfbL1	+	yfbK2	-	yfbL1yfbK2
yfbL2	+	yfbK1	-	yfbL2yfbK1
yciN1	-	topA	+	yciN1topA
ychJ1	-	rssAB	+	ychJ1rssAB
ychJ1	-	ychJ-purU	-	ychJ1ychJ-purU
ychJ1	-	purU	-	ychJ1purU
yafJ	+	ldtF	-	yafJldtF
ecnAB	+	ecnB	+	ecnABecnB
pspG	+	qorA	-	pspGqorA
ugpBAECQ	-	yhhA1	+	ugpBAECQyhhA1
ybcH1	-	nfrBA	-	ybcH1nfrBA
rpmI-rplT	-	rplT-pheM	-	rpmI-rplTrplT-pheM
rpmI-rplT	-	thrS-infC	-	rpmI-rplTthrS-infC
rpmI-rplT	-	infC-rpmI-rplT	-	rpmI-rplTinfC-rpmI-rplT
rpmI-rplT	-	infC	-	rpmI-rplTinfC
pspABCDE	+	pspE	+	pspABCDEpspE
cho	+	ves	-	choves
murA	-	ibaG-murA	-	murAibaG-murA
bcp	+	gcvR	+	bcpgcvR
yqhG	+	yqhH1	+	yqhGyqhH1
aceK	+	aceBAK	+	aceKaceBAK
aceK	+	arpA1	-	aceKarpA1
glcBA	-	glcDEFGBA	-	glcBAglcDEFGBA
rrsH-ileV-alaV-rrlH-rrfH	+	rrlH-rrfH	+	rrsH-ileV-alaV-rrlH-rrfHrrlH-rrfH
ydeM	-	ydeNM	-	ydeMydeNM
sdhCDAB-sucABCD-sdhX	+	sdhCDAB	+	sdhCDAB-sucABCD-sdhXsdhCDAB
sdhCDAB-sucABCD-sdhX	+	sucAB	+	sdhCDAB-sucABCD-sdhXsucAB
sdhCDAB-sucABCD-sdhX	+	mngR	-	sdhCDAB-sucABCD-sdhXmngR
sdhCDAB-sucABCD-sdhX	+	sdhDAB	+	sdhCDAB-sucABCD-sdhXsdhDAB
nagK-cobB1	+	lolCDE	+	nagK-cobB1lolCDE
yhiS	+	insH-111	-	yhiSinsH-111
ydhM	+	nemRA-gloA	+	ydhMnemRA-gloA
dnaX	+	ybaB-recR	+	dnaXybaB-recR
ryjA	-	soxR	+	ryjAsoxR
yibD1	-	gpmM-envC-yibQ	+	yibD1gpmM-envC-yibQ
rsmC1	-	holD-rimI-yjjG	+	rsmC1holD-rimI-yjjG
dapA-nlpB	-	bamC	-	dapA-nlpBbamC
gapA-yeaD	+	gapA	+	gapA-yeaDgapA
dsbGp // dsbG	-	ahpCF	+	dsbGp // dsbGahpCF
ileS-lspA-fkpB-ispH	+	lsp-fkpB-ispH	+	ileS-lspA-fkpB-ispHlsp-fkpB-ispH
ileS-lspA-fkpB-ispH	+	ribF-ileS-lspA-fkpB-ispH	+	ileS-lspA-fkpB-ispHribF-ileS-lspA-fkpB-ispH
zapA1	+	ssrS	+	zapA1ssrS
zapA1	+	ssrS-ygfA	+	zapA1ssrS-ygfA
relA	-	rlmD	-	relArlmD
relA	-	relA-mazEF	-	relArelA-mazEF
relA	-	ameF	+	relAameF
norR	-	srlAEBD-gutM-srlR-gutQ	+	norRsrlAEBD-gutM-srlR-gutQ
bcsBZ	-	bcsABZC	-	bcsBZbcsABZC
malZ	+	acpH	-	malZacpH
yhcF1	+	yhcADE	+	yhcF1yhcADE
sad1	-	yneJ1	+	sad1yneJ1
mngAB	+	mngR	-	mngABmngR
yhhA1	+	ugpBAECQ	-	yhhA1ugpBAECQ
yhhA1	+	ggt	-	yhhA1ggt
rrsB-gltT-rrlB-rrfB	+	rrlB-rrfB	+	rrsB-gltT-rrlB-rrfBrrlB-rrfB
pabB-nudL1	+	yoaH1	-	pabB-nudL1yoaH1
ykgA	-	eaeH-insE1EF1F1	+	ykgAeaeH-insE1EF1F1
dsdXA	+	dsdA	+	dsdXAdsdA
rhaD	-	rhaBAD	-	rhaDrhaBAD
sroH	-	yjaZ	+	sroHyjaZ
casDE-ygbTF	-	ygbF	-	casDE-ygbTFygbF
metY-yhbC-nusA-infB	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	metY-yhbC-nusA-infBmetY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
metY-yhbC-nusA-infB	-	nusA-infB	-	metY-yhbC-nusA-infBnusA-infB
metY-yhbC-nusA-infB	-	metY	-	metY-yhbC-nusA-infBmetY
yfeO1	+	glk	-	yfeO1glk
ybjO-rlmC2	+	potFGHI	+	ybjO-rlmC2potFGHI
ygfK-ssnA	+	ssnA	+	ygfK-ssnAssnA
dam-rpe-gph-trpS	-	rpe-gph-trpS	-	dam-rpe-gph-trpSrpe-gph-trpS
dam-rpe-gph-trpS	-	trpS	-	dam-rpe-gph-trpStrpS
dam-rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-	dam-rpe-gph-trpSaroKB-damX-dam-rpe-gph-trpS
pdxY	-	pdxH-tyrS-pdxY	-	pdxYpdxH-tyrS-pdxY
dnaTC-yjjA	-	yjjB-dnaTC	-	dnaTC-yjjAyjjB-dnaTC
dnaTC-yjjA	-	yjjB-dnaTC-yjjA	-	dnaTC-yjjAyjjB-dnaTC-yjjA
accA	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	accAbamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
gltF	+	gltBDF	+	gltFgltBDF
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxClpxC
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	stfZ	-	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCstfZ
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxCftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC
insI2	+	ydbA	+	insI2ydbA
yzfA	-	tamAB-ytfP	+	yzfAtamAB-ytfP
tyrTV-tpr	-	tyrV-tpr	-	tyrTV-tprtyrV-tpr
tyrTV-tpr	-	rttR	-	tyrTV-tprrttR
yhhH	+	rhsB1	+	yhhHrhsB1
ibaG	-	ibaG-murA	-	ibaGibaG-murA
insA4AB4B4	+	gfcA	-	insA4AB4B4gfcA
mdaB1	+	ygiN1	+	mdaB1ygiN1
setB1	+	yeiW	-	setB1yeiW
yrbN-deaD	-	nlpI1	-	yrbN-deaDnlpI1
yijO1	-	frwD	+	yijO1frwD
yajG	-	yajG-ampG	-	yajGyajG-ampG
yajG	-	ampG1	-	yajGampG1
ruvC	-	yebB	+	ruvCyebB
yacG	-	coaE-zapD-yacG	-	yacGcoaE-zapD-yacG
aspA	-	aspA-dcuA	-	aspAaspA-dcuA
gshA	-	luxS	-	gshAluxS
basRS	-	eptA	-	basRSeptA
yaeF1	-	proS	-	yaeF1proS
hfq-hflXKC	+	mutL-miaA-hfq-hflXKC	+	hfq-hflXKCmutL-miaA-hfq-hflXKC
hfq-hflXKC	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC	+	hfq-hflXKCyjeFE-amiB-mutL-miaA-hfq-hflXKC
hfq-hflXKC	+	miaA-hfq-hflXKC	+	hfq-hflXKCmiaA-hfq-hflXKC
hfq-hflXKC	+	hfq-hflXKC1	+	hfq-hflXKChfq-hflXKC1
xylFGHR	+	xylR	+	xylFGHRxylR
rssAB	+	rssB	+	rssABrssB
rssAB	+	ychJ-purU	-	rssABychJ-purU
slyX1	+	fkpA	-	slyX1fkpA
ygbLM	+	ygbN1	+	ygbLMygbN1
rpe-gph-trpS	-	dam-rpe-gph-trpS	-	rpe-gph-trpSdam-rpe-gph-trpS
rpe-gph-trpS	-	trpS	-	rpe-gph-trpStrpS
rpe-gph-trpS	-	aroKB-damX-dam-rpe-gph-trpS	-	rpe-gph-trpSaroKB-damX-dam-rpe-gph-trpS
yjbE	+	yjbEFGH	+	yjbEyjbEFGH
poxB-ltaE-ybjT1	-	ltaE-ybjT	-	poxB-ltaE-ybjT1ltaE-ybjT
poxB-ltaE-ybjT1	-	poxB	-	poxB-ltaE-ybjT1poxB
poxB-ltaE-ybjT1	-	hcp-hcr-poxB	-	poxB-ltaE-ybjT1hcp-hcr-poxB
htgA	+	yaaW1	-	htgAyaaW1
yjjP	-	yjjB-dnaTC	-	yjjPyjjB-dnaTC
yjjP	-	yjjB-dnaTC-yjjA	-	yjjPyjjB-dnaTC-yjjA
rseABC	-	rseD-rpoE-rseABC	-	rseABCrseD-rpoE-rseABC
rseABC	-	rpoE-rseABC	-	rseABCrpoE-rseABC
dksA-gluQ	-	sfsA-dksA	-	dksA-gluQsfsA-dksA
csiD-ygaF-gabDTP	+	gabDTP	+	csiD-ygaF-gabDTPgabDTP
rdlB1	+	ldrB1	-	rdlB1ldrB1
ompX	+	yliM-ompX	+	ompXyliM-ompX
rpoD	+	rpsU-dnaG-rpoD	+	rpoDrpsU-dnaG-rpoD
ybiB	+	dinG-ybiB	+	ybiBdinG-ybiB
stfE-tfaE	-	ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	+	stfE-tfaEymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP
stfE-tfaE	-	pinE1	+	stfE-tfaEpinE1
tehAB	+	ydcK1	-	tehABydcK1
ybbY-glxK	+	allB	+	ybbY-glxKallB
ybbY-glxK	+	glxK	+	ybbY-glxKglxK
ybbY-glxK	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+	ybbY-glxKgcl-hyi-glxR-ybbVW-allB-ybbY-glxK
rnb	-	yciW	-	rnbyciW
rlmD	-	relA	-	rlmDrelA
rlmD	-	relA-mazEF	-	rlmDrelA-mazEF
ogt	-	abgABT-ogt	-	ogtabgABT-ogt
ygcG1	+	queE1	-	ygcG1queE1
yeiL1	+	yeiL	+	yeiL1yeiL
zraSR	+	purHD	-	zraSRpurHD
rnlAB	+	rnlB	+	rnlABrnlB
rnlAB	+	yfjM1	-	rnlAByfjM1
ydcC	+	pptA1	+	ydcCpptA1
aceBAK	+	arpA1	-	aceBAKarpA1
yadE2	+	yadI	+	yadE2yadI
glnLG	-	glnAZLG	-	glnLGglnAZLG
glnLG	-	glnAZ	-	glnLGglnAZ
hypBCDE	+	hypABCDE	+	hypBCDEhypABCDE
ydcI	-	ydcJ1	+	ydcIydcJ1
ydcK1	-	rimL	+	ydcK1rimL
bcsABZC	-	bcsQ	-	bcsABZCbcsQ
metK	+	yqgD	-	metKyqgD
lgt-thyA	-	thyA	-	lgt-thyAthyA
mazEFG	-	relA-mazEF	-	mazEFGrelA-mazEF
mazEFG	-	ameF	+	mazEFGameF
rpsO	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	rpsOmetY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
rpsO	-	rpsO-pnp	-	rpsOrpsO-pnp
gadC1	-	gadBC	-	gadC1gadBC
pstCAB-phoU	-	pstB-phoU	-	pstCAB-phoUpstB-phoU
pstCAB-phoU	-	phoU	-	pstCAB-phoUphoU
pstCAB-phoU	-	pstSCAB-phoU	-	pstCAB-phoUpstSCAB-phoU
gspCDEFGHIJKLMO	+	gspAB	-	gspCDEFGHIJKLMOgspAB
gloB1	-	yafS1	+	gloB1yafS1
ralA	+	recET-ralR-rcbA-xisR-intR	-	ralArecET-ralR-rcbA-xisR-intR
ackA-pta1	+	ackA	+	ackA-pta1ackA
yggX-mltC	+	yggX	+	yggX-mltCyggX
yggX-mltC	+	mutY-yggX-mltC-nupG	+	yggX-mltCmutY-yggX-mltC-nupG
cspB	-	cspF3	+	cspBcspF3
kdtA-coaD	+	waaA	+	kdtA-coaDwaaA
ybaB-recR	+	htpG	+	ybaB-recRhtpG
hlpA-lpxD-fabZ-lpxA	+	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	hlpA-lpxD-fabZ-lpxAbamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE
hlpA-lpxD-fabZ-lpxA	+	fabZ	+	hlpA-lpxD-fabZ-lpxAfabZ
hlpA-lpxD-fabZ-lpxA	+	lpxD	+	hlpA-lpxD-fabZ-lpxAlpxD
yccR	+	yccFS	-	yccRyccFS
nadB	+	rpoE-rseABC	-	nadBrpoE-rseABC
creABCD	+	creD	+	creABCDcreD
creABCD	+	arcA	-	creABCDarcA
rnhA	-	dnaQ1	+	rnhAdnaQ1
rnhA	-	dnaQ	+	rnhAdnaQ
rnhA	-	yafS1	+	rnhAyafS1
tnaAB	+	tnaCAB	+	tnaABtnaCAB
sdhCDAB	+	sdhDAB	+	sdhCDABsdhDAB
galET	-	galETKM	-	galETgalETKM
galET	-	galE	-	galETgalE
galET	-	galETK	-	galETgalETK
narZYWV	-	narWV	-	narZYWVnarWV
deoCABD	+	yjjJ2	+	deoCABDyjjJ2
deoCABD	+	deoABD	+	deoCABDdeoABD
udk-dcd	-	dcd	-	udk-dcddcd
yedA	+	dcm-vsr	-	yedAdcm-vsr
hepA	-	rapA-rluA	-	hepArapA-rluA
hepA	-	polB	-	hepApolB
iraD	+	hypT1	-	iraDhypT1
yjjB-dnaTC	-	yjjB-dnaTC-yjjA	-	yjjB-dnaTCyjjB-dnaTC-yjjA
pheM	-	rplT-pheM	-	pheMrplT-pheM
pheM	-	pheMST-ihfA	-	pheMpheMST-ihfA
gltIJKL-sroC	-	rihA1	-	gltIJKL-sroCrihA1
gltIJKL-sroC	-	gltI-sroC-gltJKL1	-	gltIJKL-sroCgltI-sroC-gltJKL1
proC	-	adrA	+	proCadrA
srlR	+	srlAEBD-gutM-srlR-gutQ	+	srlRsrlAEBD-gutM-srlR-gutQ
ybhB1	-	bioA	-	ybhB1bioA
creD	+	arcA	-	creDarcA
yajC-secDF	+	tgt-yajC	+	yajC-secDFtgt-yajC
yodC1	-	yedI1	-	yodC1yedI1
ligA-ypeB	-	yfeH1	+	ligA-ypeByfeH1
ada-alkB	-	alkB	-	ada-alkBalkB
secG1	-	secG-leuU	-	secG1secG-leuU
dnaQ1	+	dnaQ	+	dnaQ1dnaQ
gcvP	-	gcvTHP	-	gcvPgcvTHP
ppk-ppx1	+	ppk-ppx	+	ppk-ppx1ppk-ppx
mcrA1	+	pinE1	+	mcrA1pinE1
mcrA2	+	pinE2	+	mcrA2pinE2
araE	-	ygeA1	-	araEygeA1
micC	+	ydbK-ompN	-	micCydbK-ompN
yjjI	-	deoCABD	+	yjjIdeoCABD
nlpI1	-	yrbN-deaD	-	nlpI1yrbN-deaD
nlpI1	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-	nlpI1metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp
nlpI1	-	rpsO-pnp	-	nlpI1rpsO-pnp
argF-xynR1	-	xynR	-	argF-xynR1xynR
torR	-	torT1	+	torRtorT1
ivbL-ilvBN	-	ivbL-ilvBN-uhpABC1	-	ivbL-ilvBNivbL-ilvBN-uhpABC1
menBCE	-	menFD-yfbB-menBCE	-	menBCEmenFD-yfbB-menBCE
menBCE	-	menD-yfbB-menBCE	-	menBCEmenD-yfbB-menBCE
dcuA	-	aspA-dcuA	-	dcuAaspA-dcuA
dcuA	-	aspX	-	dcuAaspX
dsbC	-	xerD-dsbC-recJ	-	dsbCxerD-dsbC-recJ
ytjC	+	yjjX2	-	ytjCyjjX2
ytjC	+	rob	-	ytjCrob
rplT-pheM	-	pheMST-ihfA	-	rplT-pheMpheMST-ihfA
rplT-pheM	-	infC-rpmI-rplT	-	rplT-pheMinfC-rpmI-rplT
mdtABCD-baeSR	+	baeSR	+	mdtABCD-baeSRbaeSR
rrsC-gltU-rrlC-rrfC	+	aspT1	+	rrsC-gltU-rrlC-rrfCaspT1
