TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
ycgZ2	+	ycgZ-ymgA-ariR-ymgC	+
argF	-	argF-xynR1	-
pspF	-	pspABCDE	+
dfp	+	dut-slmA	+
ribE-nusB-thiL-pgpA	+	nrdR-ribDE-nusB-thiL-pgpA	+
yegI1	-	yegJ2	+
yegI2	-	yegJ1	+
yneK2	+	yneJ1	+
xapR	-	valUXY-lysV	+
sokC	+	mokC-hokC	-
safA-ydeO	-	ydeO	-
asflhD	+	flhDC	-
valS	-	holC-valS	-
valS	-	holC1	-
nanA	-	nanATEK-yhcH	-
slyA2	-	ydhIJK	+
map-glnD-dapD	-	glnD	-
araE-ygeA	-	lysR	+
araE-ygeA	-	araE	-
araE-ygeA	-	ygeA1	-
nemRA	+	nemA	+
nemRA	+	ydhM	+
nemRA	+	nemRA-gloA	+
ybhA2	-	pgl1	+
pqiABC	+	rlmL-uup	+
pqiABC	+	ymbA	+
yafZ	-	ykfA-yafZ	-
mazEF	-	mazEFG	-
mazEF	-	relA-mazEF	-
mazEF	-	ameF	+
ybdF1	-	ybdJ2	-
ybdF1	-	ybdJ3	-
ybdF1	-	ybdJ4	-
sraA	-	clpPX	+
sraA	-	clpX-lon	+
msrPQ	+	hiuH-msrPQ	+
ybdN	-	ybdM1	-
ycaI-msbA-lpxK-ycaQ1	+	rpsA-ihfB	+
ycaI-msbA-lpxK-ycaQ1	+	ihfB	+
ycaI-msbA-lpxK-ycaQ3	+	rpsA-ihfB	+
ycaI-msbA-lpxK-ycaQ3	+	ihfB	+
yegX1	-	thiMD	-
yegX2	-	thiMD	-
yicG	+	ligB1	-
yicG	+	ligB2	-
wzbc	-	wza-wzb-wzc-wcaAB	-
carB	+	carAB	+
uspC1	+	otsA	-
uspC1	+	otsBA	-
uspC2	+	otsA	-
uspC2	+	otsBA	-
uspC3	+	otsA	-
uspC3	+	otsBA	-
uspC4	+	otsA	-
uspC4	+	otsBA	-
uspC5	+	otsA	-
uspC5	+	otsBA	-
uspC6	+	otsA	-
uspC6	+	otsBA	-
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQ	+
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	+	ftsQAZ	+
