TU_Name	TU_Direction	Overlapping_TU	Overlapping_Direction
gcvP	-	gcvTHP	-
ppk-ppx1	+	ppk-ppx	+
ppk-ppx2	+	ppk-ppx	+
ppk-ppx3	+	ppk-ppx	+
mcrA1	+	pinE1	+
mcrA1	+	pinE2	+
mcrA2	+	pinE1	+
mcrA2	+	pinE2	+
araE	-	ygeA1	-
micC	+	ydbK-ompN	-
yjjI	-	deoCABD	+
nlpI1	-	yrbN-deaD	-
nlpI1	-	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	-
nlpI1	-	rpsO-pnp	-
csgA	+	csgBAC	+
argF-xynR1	-	xynR	-
torR	-	torT1	+
torR	-	torT2	+
torR	-	torT3	+
ivbL-ilvBN	-	ivbL-ilvBN-uhpABC1	-
menBCE	-	menFD-yfbB-menBCE	-
menBCE	-	menD-yfbB-menBCE	-
dcuA	-	aspA-dcuA	-
dcuA	-	aspX	-
dsbC	-	xerD-dsbC-recJ	-
ytjC	+	yjjX2	-
ytjC	+	rob	-
rplT-pheM	-	pheMST-ihfA	-
rplT-pheM	-	infC-rpmI-rplT	-
mdtABCD-baeSR	+	baeSR	+
rrsC-gltU-rrlC-rrfC	+	aspT1	+
rrsC-gltU-rrlC-rrfC	+	trpt	+
tam	+	lsrACDBFG-tam	+
msrB	-	gapA	+
scpA-argK-scpBC	+	ygfI	-
yjjJ2	+	deoCABD	+
psuT1	-	psuKG	-
fur	-	fldA-uof-fur	-
hemA-prfA-prmC	+	hemA	+
hemA-prfA-prmC	+	ychQA-kdsA	+
mntP	+	rlmA1	-
frlABCDR	+	frlR	+
aspA-dcuA	-	aspX	-
gntU1	-	gntKU	-
gntU1	-	gntRKU	-
ycjXF-tyrR	+	ycjXF	+
ycjXF-tyrR	+	tyrR	+
yaaW1	-	htgA	+
yaaW1	-	yaaI2	-
yaaW1	-	yaaI3	-
murQP-yfeW	+	murR	-
grxC1	-	secB-gpsA	-
grxC1	-	yibN-grxC-secB-gpsA	-
galE	-	galETK	-
galE	-	galETKM	-
galE	-	galET	-
glpFKX	-	glpFK	-
yggSTU-rdgB-hemW	+	rdgB-yggW	+
yahE	+	yahDEFG	+
yciT	-	yciZT	-
ptrB	-	yobB-exoX1	+
ptrB	-	yobB-exoX2	+
apaGH	-	pdxA-rsmA-apaGH	-
apaGH	-	rsmA-apaGH	-
rpoN-hpf-ptsN-yhbJ-npr	+	yrbG-kdsDC-lptCAB	+
xapB	-	xapAB	-
imp	-	imp-surA-pdxA	-
tnaCAB	+	tnaC	+
ybjL2	-	ybjM1	+
xapAB	-	xapB	-
yciSM-pyrF-yciH	+	lapAB	+
yciSM-pyrF-yciH	+	pyrF-yciH	+
dld1	+	bglX	-
dld1	+	pbpG1	-
dld1	+	pbpG2	-
dld2	+	pbpG1	-
dld2	+	pbpG2	-
yjaA2	+	rrsE-gltV-rrlE-rrfE	+
lolB-ispE-prs	-	prs	-
rihA1	-	hscC1	-
rihA1	-	hscC2	-
rihA1	-	gltI-sroC-gltJKL1	-
aspT1	+	rrsC-gltU-rrlC-rrfC	+
ydaSTUVW-rzpR	+	rzoR	+
ydaSTUVW-rzpR	+	racR1	-
holC1	-	valS	-
plsC	-	ftsP1	-
plsC	-	ftsP2	-
rimL	+	ydcH	+
insE2F2EF2	-	yaiT	+
ftsP1	-	ygiQ2	-
ftsP2	-	ygiQ2	-
yfjM1	-	rnlA	+
yghQ1	-	yghSR	-
yghQ2	-	yghSR	-
yghQ4	-	yghSR	-
yrbG-kdsDC-lptCAB	+	yrbG-kdsD	+
puuCBE	+	puuDRCBE	+
nemRA-gloA	+	gloA	+
flu	+	isrC	+
rlmL-uup	+	pqiABC	+
rplL	+	rplJL-rpoBC	+
phoU	-	pstB-phoU	-
phoU	-	pstCAB-phoU	-
phoU	-	pstSCAB-phoU	-
ivbL-ilvBN-uhpABC1	-	uhpB	-
rpsU	+	rpsU-dnaG-rpoD	+
yjgM1	-	yjgN2	+
yjgM1	-	yjgN3	+
ybjC-nfsA-rimK-ybjN	+	rimK-ybjN	+
ybjC-nfsA-rimK-ybjN	+	ybjN	+
alpA	+	yfjH1	-
alpA	+	yfjH2	-
alpA	+	yfjI4	+
speE	-	yacC-speED	-
insH-10	-	yhcADE	+
serB-radA	+	serB1	+
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	rseP	+
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	fabZ	+
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	bamA	+
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	accA	+
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	+	lpxD	+
thrS-infC	-	infC-rpmI-rplT	-
thrS-infC	-	infC	-
pgk	-	pgk-fbaA	-
sieB	+	ydaGF	-
pheMST-ihfA	-	ihfA	-
dxr-uppS-cdsA1	+	rseP	+
dxr-uppS-cdsA1	+	cdsA1	+
dxr-uppS-cdsA1	+	cdsA2	+
dxr-uppS-cdsA2	+	rseP	+
dxr-uppS-cdsA2	+	cdsA1	+
dxr-uppS-cdsA2	+	cdsA2	+
dxr-uppS-cdsA3	+	rseP	+
dxr-uppS-cdsA3	+	cdsA1	+
dxr-uppS-cdsA3	+	cdsA2	+
dxr-uppS-cdsA4	+	rseP	+
dxr-uppS-cdsA4	+	cdsA1	+
dxr-uppS-cdsA4	+	cdsA2	+
fumA	-	fumAC	-
secB-gpsA	-	cysE	-
secB-gpsA	-	yibN-grxC-secB-gpsA	-
rseP	+	bamA	+
rseP	+	cdsA1	+
rseP	+	cdsA2	+
sthA	-	oxyR	+
ybeX-lnt	-	ybeZYX-lnt	-
yncE	+	yncD1	-
gyrB	-	yidB1	-
gyrB	-	dnaN-recF	-
gyrB	-	dnaAN-recF	-
gyrB	-	recF	-
cysZ1	+	zipA1	-
ibpAB	-	ibpB	-
alsK1	-	alsBACE	-
yahM1	+	xtpA	+
mutM	-	mutM1	-
mutM	-	mutM2	-
mutM	-	yicR-rpmBG-mutM	-
yceQ1	+	rne	-
rfbACX	-	rfbBDACX	-
dppBCDF	-	dppABCDF	-
cynTSX	+	lacZYA	-
cynTSX	+	cynTS	+
hcaT1	-	csiE	+
hcaT1	-	hcaR	-
hcaT2	-	csiE	+
hcaT3	-	csiE	+
yicJI	-	selC	+
flk	+	yfcJ1	-
imp-surA-pdxA	-	djlA1	+
imp-surA-pdxA	-	pdxA-rsmA-apaGH	-
imp-surA-pdxA	-	rsmA-apaGH	-
yehK1	+	yehHI	+
trpS	-	aroKB-damX-dam-rpe-gph-trpS	-
cysE	-	yibN-grxC-secB-gpsA	-
rrlH-rrfH	+	rrsH-ileV-alaV-rrlH-rrfH	+
trpt	+	rrsC-gltU-rrlC-rrfC	+
cstA	+	ybdD1	+
ycaN	-	ycaK2	+
yahO	+	yahN1	-
yahO	+	yahN2	-
holE1	+	yobB-exoX1	+
holE2	+	yobB-exoX1	+
holE3	+	yobB-exoX1	+
rfaH1	-	tatABC	+
rfaH1	-	tatD	+
rfaH2	-	tatABC	+
rfaH2	-	tatD	+
csgBAC	+	ymdAB-clsC	+
csgBAC	+	ymdAB	+
rstAB	+	tus1	+
yidB1	-	gyrB	-
yjeV	+	queG	-
mutM1	-	yicR-rpmBG	-
mutM1	-	yicR-rpmBG-mutM	-
mutM2	-	yicR-rpmBG-mutM	-
yabR	-	ilvIH	+
yjfP1	+	ulaR1	-
yjfP1	+	bsmA	-
yjfP2	+	ulaR1	-
rbn	+	elaA1	-
rbn	+	elaA2	-
diaA	+	dolP	+
lsp-fkpB-ispH	+	ileS-lspA-fkpB-ispH	+
lsp-fkpB-ispH	+	ribF-ileS-lspA-fkpB-ispH	+
nanCM	-	nanS1	-
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	-	wza-wzb-wzc-wcaAB	-
ycjD1	-	sapABCDF	-
ycjD2	-	sapABCDF	-
oppABCDF	+	oppBCDF	+
phnCDEEFGHIJKLMNOP	-	phnLMNOP	-
idnR	-	idnDOTR	-
fabG-acpP	+	fabDG-acpP	+
fabG-acpP	+	acpP-fabF	+
fabG-acpP	+	plsX-fabHDG	+
fabG-acpP	+	fabHDG	+
def-fmt	+	smf	-
nikABCDER	+	nikR	+
asnC-mioC	-	asnC-mioC-mnmG	-
mqsA	-	mqsRA	-
speD	-	yacC-speED	-
yihD	+	mobAB	-
tpke11	+	dnaKJ	+
atpIBEFHAGDC	-	atpBEFHAGDC	-
ycjY-ymjDC-mpaA	-	pgrR	+
ycjY-ymjDC-mpaA	-	ymjC-mpaA	-
ycjY-ymjDC-mpaA	-	ycjG	+
ycgN3	+	ycgM	+
kdgR3	-	yebQ1	+
kdgR3	-	yebQ2	+
ybgIJKL-nei	+	dtpD1	-
ybgIJKL-nei	+	dtpD2	-
ybgIJKL-nei	+	dtpD3	-
fldA-uof-fur	-	fur	-
yggX	+	mutY-yggX-mltC-nupG	+
yoeA	+	insC3D3CD3	-
tsaB-yeaY	-	yeaY	-
rcsC2	-	atoSC	+
uvrYC	-	uvrC	-
yiaD1	+	ghrB1	+
yiaD1	+	bisC1	-
yiaD1	+	bisC2	-
yiaD1	+	bisC4	-
yiaD2	+	ghrB1	+
yiaD2	+	bisC1	-
yiaD2	+	bisC2	-
yiaD2	+	bisC3	-
yiaD2	+	bisC4	-
yohC1	-	pbpG1	-
yohC2	-	pbpG1	-
mscL	+	arfA	-
yciG	-	yciGFE	-
gadXW	-	gadW	-
gadXW	-	gadX	-
insN-2	+	yjhV	+
infC-rpmI-rplT	-	infC	-
ymjA1	-	puuP	-
ymjA1	-	puuAP	-
sfsA-dksA	-	ligT	-
frc	-	oxc1	-
frc	-	oxc2	-
yafC1	-	yafDE	+
puuP	-	puuAP	-
tus1	+	fumAC	-
insH-8	-	yejO	-
fabDG-acpP	+	acpP-fabF	+
fabDG-acpP	+	plsX-fabHDG	+
fabDG-acpP	+	fabHDG	+
ybdD1	+	cstA	+
yeiH1	+	yeiE3	-
gntKU	-	gntRKU	-
mqsRA	-	mqsA	-
dpiBA	+	citCDEFXG	-
ymjC-mpaA	-	ycjG	+
tyrV-tpr	-	rttR	-
yqgD	-	metK	+
yadC	-	yadMLKC	-
relA-mazEF	-	ameF	+
ymdAB-clsC	+	ymdB-clsC	+
ymdAB-clsC	+	ymdAB	+
lrp	+	ftsK	+
fldB	+	xerD1	-
fldB	+	xerD2	-
yciE	-	yciGFE	-
yjcH-actP	-	acs-yjcHG	-
rimK-ybjN	+	ybjN	+
glxK	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	+
yqhD-dkgA	+	yqhC1	-
ymdB-clsC	+	ymdAB	+
yicR-rpmBG	-	yicR-rpmBG-mutM	-
ybhQ	+	cecR-ybhGFSR	-
menFD-yfbB-menBCE	-	menD-yfbB-menBCE	-
bamD	+	rluD-pgeF	-
miaA-hfq-hflXKC	+	hfq-hflXKC1	+
miaA-hfq-hflXKC	+	hfq-hflXKC2	+
yajG-ampG	-	ampG1	-
yajG-ampG	-	ampG2	-
yajG-ampG	-	ampG3	-
sugE	+	blc	-
ydbK	-	ydbK-ompN	-
hfq-hflXKC1	+	miaA-hfq-hflXKC	+
hfq-hflXKC2	+	miaA-hfq-hflXKC	+
rzoD	+	essD-ybcS-rzpD	+
ryjB	+	sgcXBCQAER	-
cbrBC	+	cbrC	+
xseB-ispA-dxs-yajO	-	yajO	-
ravA-viaA	-	kup	+
poxB	-	hcp-hcr-poxB	-
ychJ-purU	-	purU	-
kdsA	+	ychQA-kdsA	+
pdxA-rsmA-apaGH	-	rsmA-apaGH	-
plsX-fabHDG	+	fabHDG	+
tatABC	+	tatD	+
